session_title,speakers,audio_recording_link,tipsheets
"AI 101: AI-driven tools, tips and tricks to empower your data journalism","Darla Cameron, The Texas Tribune; Jeff Hargarten, Star Tribune; June Kim, Brown Institute for Media Innovation; Mike Reilley, UIC and JournalistsToolbox.ai",<a href='https://resources.ire.org/audio/20240307-30510.mp3'>Audio Recording</a>,<a href='https://resources.ire.org/tipsheets/20240307-30382.pdf'>Tipsheet</a>
Building and learning a new beat in data,"Fazil Khan (in memoriam), The Hechinger Report; Bianca Pallaro, The City; Catherine Rentz, Independent Journalist/Filmmaker; Paroma Soni, Politico",<a href='https://resources.ire.org/audio/20240307-30500.mp3'>Audio Recording</a>,NA
First Visual Story: Launch a data-driven website,"James Thomas, The New York Times; Ben Welsh, Reuters; Aida Ylanan, Los Angeles Times",NA,<a href='https://palewi.re/docs/first-visual-story/'>Tutorial</a>
Reporting on zoning: The invisible laws that shape our urban inequality,"Sara  Bronin, Cornell University and National Zoning Atlas; Kriston  Capps, Bloomberg CityLab; Juan Pablo Garnham, Eviction Lab; Matthew Mleczko, Eviction Lab, Princeton University",<a href='https://resources.ire.org/audio/20240307-30514.mp3'>Audio Recording</a>,<a href='https://drive.google.com/file/d/1Ih4Cn__xD-k3BZ5yZku-R7DWfDOpyqII/view'>Slides</a>
Text analysis in different languages for investigative journalism,"Fernanda Aguirre, The Examination; Chris Amico, MuckRock; Josephine Lukito, University of Texas at Austin; Lam Thuy Vo, The Craig Newmark Graduate School of Journalism at City University New York and The Markup",<a href='https://resources.ire.org/audio/20240307-30505.mp3'>Audio Recording</a>,NA
Uncovering shadow campaigns in 2024 elections,"Michael Beckel, Issue One; Carrie Levine, Votebeat; Anna Massoglia, OpenSecrets",<a href='https://resources.ire.org/audio/20240307-30519.mp3'>Audio Recording</a>,<a href='https://docs.google.com/document/d/1FGJXIxMBnyHkayiw6T2snowUgAMcOAMIfX3p5PAlVVA/edit'>Tipsheet</a>
Writing with numbers,"MaryJo Webster, Star Tribune",NA,"<a href='https://docs.google.com/presentation/d/1pEqB0jehdAdK7egoTMvFHKuQL9BL9FTBRJi1OsWK9AA/edit#slide=id.p'>Slides</a>, <a href='https://resources.ire.org/tipsheets/20240307-30355.pdf'>Tipsheet</a>"
Covering disparities in higher education,"Daarel Burnette II, The Chronicle of Higher Education; Chris Quintana, USA TODAY; Olivia Sanchez, The Hechinger Report",<a href='https://resources.ire.org/audio/20240307-30520.mp3'>Audio Recording</a>,<a href='https://docs.google.com/presentation/d/1qyS8RCL2iTWRvLsetvHpuYQ41xk64CIpf2MLEg1WprA/edit#slide=id.p'>Slides</a>
"Finding the story in criminal justice data: Crime, police, prisons and more","Sarah Conway, City Bureau; Tom Meagher, The Marshall Project; Trina Reynolds-Tyler, Invisible Institute",<a href='https://resources.ire.org/audio/20240307-30515.mp3'>Audio Recording</a>,NA
How to do data- and document-driven investigations in small and/or underserved newsrooms,"Pam Dempsey, Data-Driven Reporting Project; Chris Gelardi, New York Focus; Brittany Harlow, VNN Oklahoma; Sylvia A. Harvey, Independent journalist; Daniel Wheaton, NPR's Midwest Newsroom (Nebraska Public Media)",<a href='https://resources.ire.org/audio/20240307-30501.mp3'>Audio Recording</a>,NA
PDF next steps: Extracting data using command-line and other tools,"Chad Day, Associated Press",NA,<a href='https://github.com/chadday/nicar_ocr'>GitHub repo</a>
Securing your social media accounts with the magic of browser extension automations,"Tracy Chou, Block Party",<a href='https://resources.ire.org/audio/20240307-30506.mp3'>Audio Recording</a>,NA
